ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2293478-20200816,2734031,46344,2,"MICHAEL'S NEIGHBORHOOD PUB, INC.",FIREWATER SALOON,6689-6695 N OLIPHANT AVE,CHICAGO,IL,60631,41,5,16,1050,Public Place of Amusement,2293478,RENEW,,06/15/2020,03/19/2021,N,08/16/2020,08/15/2022,03/19/2021,03/22/2021,AAI,,,42.002412236,-87.816346038,"(42.002412235795916, -87.81634603832423)"
2432787-20220116,2821489,402314,1,"BAR 22, LLC",BAR 22,2244 S MICHIGAN AVE 1ST AND 2ND,CHICAGO,IL,60616,3,3,1,1050,Public Place of Amusement,2432787,RENEW,,11/15/2021,01/13/2022,N,01/16/2022,01/15/2024,01/13/2022,01/13/2022,AAI,,,41.851579626,-87.623916951,"(41.851579625699785, -87.62391695140437)"
1299854-20130316,2227524,254069,1,IMAX Chicago Theatre LLC,IMAX Chicago Theatre,700 E GRAND AVE  115,CHICAGO,IL,60611,42,11,18,1050,Public Place of Amusement,1299854,RENEW,,01/17/2013,02/19/2013,N,03/16/2013,03/15/2015,03/07/2013,03/08/2013,AAI,,,41.892249163,-87.609518049,"(41.892249163400116, -87.60951804879336)"
2670509-20191023,2670509,459310,1,"NMPARK, LLC",NEVERMORE PARK,1601 S MORGAN ST 1,CHICAGO,IL,60608,25,17,12,1050,Public Place of Amusement,2670509,ISSUE,05/22/2019,08/28/2019,08/28/2019,Y,10/23/2019,11/15/2021,10/23/2019,10/23/2019,AAI,,,41.859810006,-87.650792868,"(41.85981000590583, -87.65079286776636)"
1841049-20200616,2725692,296164,1,"REGGIE'S MUSIC CLUB, LLC",REGGIES,2109 S STATE ST,CHICAGO,IL,60616,3,45,1,1050,Public Place of Amusement,1841049,RENEW,,04/15/2020,07/21/2021,N,06/16/2020,06/15/2022,07/21/2021,07/22/2021,AAI,,,41.8539455,-87.626959265,"(41.85394549994518, -87.62695926546962)"
2234208-20151116,2427122,379078,1,HALSTED KITCHEN LLC,SUMMER HOUSE SANTA MONICA,1954 N HALSTED ST 1,CHICAGO,IL,60614,43,3,18,1050,Public Place of Amusement,2234208,RENEW,,09/15/2015,10/07/2015,N,11/16/2015,10/15/2017,10/07/2015,10/08/2015,AAI,,,41.917541127,-87.64862901,"(41.91754112681401, -87.6486290102714)"
1044953-20200416,2714725,203395,2,"Broadway In Chicago, LLC",NEDERLANDER THEATRE,24 W RANDOLPH ST,CHICAGO,IL,60601,42,9,1,1050,Public Place of Amusement,1044953,RENEW,,02/15/2020,03/03/2020,N,04/16/2020,04/15/2022,03/13/2020,08/25/2020,AAI,,1,41.884595744,-87.628795005,"(41.884595743948594, -87.62879500536263)"
2469135-20181016,2620538,406544,1,BRE 312 SKYDECK LLC,BRE 312 SKYDECK LLC,"233 S WACKER DR LL, 2 99, & 103",CHICAGO,IL,60606,42,12,1,1050,Public Place of Amusement,2469135,RENEW,,08/15/2018,09/17/2018,N,10/16/2018,07/15/2021,10/22/2018,10/23/2018,AAI,,,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)"
2363810-20170616,2527472,394571,1,"GERAGHTY, LLC",THE GERAGHTY,2520 S HOYNE AVE,CHICAGO,IL,60608,12,20,10,1050,Public Place of Amusement,2363810,RENEW,,04/15/2017,05/02/2017,N,06/16/2017,06/15/2019,11/14/2017,11/15/2017,AAI,,,41.846078035,-87.678250096,"(41.84607803530318, -87.67825009589394)"
2886389-20230403,2886389,492713,1,"The Sangamon Syndicate, LLC",Fioretta,310-318 N SANGAMON ST 1ST AND 13TH,CHICAGO,IL,60607,27,45,12,1050,Public Place of Amusement,2886389,ISSUE,12/16/2022,12/16/2022,12/16/2022,Y,04/03/2023,04/15/2025,04/03/2023,04/03/2023,AAI,,,41.887109862,-87.651163948,"(41.88710986216882, -87.65116394801733)"
1271075-20130816,2265283,32331,1,"AR & IR, INC.",AVONDALE MUSIC HALL,3336-3342 N MILWAUKEE AVE 1ST,CHICAGO,IL,60641,30,23,17,1050,Public Place of Amusement,1271075,RENEW,,06/15/2013,06/27/2013,N,08/16/2013,08/15/2015,08/09/2013,08/12/2013,AAI,,,41.941691571,-87.728338222,"(41.94169157081146, -87.72833822192297)"
1744-20151116,2424705,24223,1,ACAPULCO NIGHT CLUB CORP.,ACAPULCO NIGHT CLUB INC,3433 W FULLERTON AVE 1ST,CHICAGO,IL,60647,35,7,14,1472,Music and Dance,1744,RENEW,,09/15/2015,11/12/2015,N,11/16/2015,11/15/2017,11/12/2015,11/13/2015,AAI,,,41.924537573,-87.713467595,"(41.92453757264159, -87.71346759520937)"
2121206-20180416,2580437,205144,1,"HILTON ILLINOIS, LLC",Palmer House Hilton,17 E MONROE ST,CHICAGO,IL,60603,34,9,1,1050,Public Place of Amusement,2121206,RENEW,,02/15/2018,04/10/2018,N,04/16/2018,07/15/2021,04/10/2018,04/11/2018,AAI,,1,41.880664578,-87.627089364,"(41.88066457839605, -87.6270893644417)"
1649036-20220516,2836993,64579,1,"CYNPAT, INC",Cielo Dulce,3504 S WESTERN AVE 1,CHICAGO,IL,60609,12,6,9,1050,Public Place of Amusement,1649036,RENEW,,03/15/2022,05/13/2022,N,05/16/2022,05/15/2024,05/13/2022,05/13/2022,AAI,,,41.830073693,-87.68517427,"(41.830073693447986, -87.68517426995787)"
45825-20130216,2223152,35970,1,"WINDY CITY MAGAZINES, INC.",ADULT JOURNAL/RAM BOOKS,3511  -03511 N HALSTED ST  1ST,CHICAGO,IL,60657,46,24,19,1050,Public Place of Amusement,45825,RENEW,,01/16/2013,02/08/2013,N,02/16/2013,02/15/2015,02/08/2013,02/11/2013,AAI,,18,41.945823357,-87.649294819,"(41.94582335654155, -87.64929481939201)"
2185193-20141216,2361585,314194,1,"TICE, INC.",STANDARD BAR & GRILL,1332 N MILWAUKEE AVE 1-2,CHICAGO,IL,60622,1,21,14,1050,Public Place of Amusement,2185193,RENEW,,10/15/2014,11/04/2014,N,12/16/2014,11/15/2016,11/24/2014,11/25/2014,AAI,,33,41.90588472,-87.670665085,"(41.90588472017225, -87.6706650851081)"
1543961-20130716,2257501,25820,1,GREEN MILL CORPORATION,GREEN MILL JAZZ CLUB,4802 N BROADWAY  1ST,CHICAGO,IL,60640,46,40,20,1050,Public Place of Amusement,1543961,RENEW,,05/15/2013,07/09/2013,N,07/16/2013,07/15/2015,07/09/2013,07/10/2013,AAI,,34,41.969138014,-87.659821302,"(41.969138014237544, -87.65982130240475)"
2578701-20200616,2727175,402246,2,"360 MANAGEMENT COMPANY, LLC",LONDONHOUSE HOTEL,85 E WACKER DR 1-23,CHICAGO,IL,60601,42,42,1,1050,Public Place of Amusement,2578701,RENEW,,04/15/2020,06/02/2020,N,06/16/2020,06/15/2022,06/15/2020,06/22/2020,AAI,,,41.88809629,-87.625177279,"(41.888096290381576, -87.62517727895694)"
2600752-20210916,2798448,35234,2,"PODHALANKA, INC.",Xavier's Club and Kitchen,4454-4456 S WESTERN AVE 1-2,CHICAGO,IL,60609,15,9,9,1050,Public Place of Amusement,2600752,RENEW,,07/15/2021,08/14/2021,N,09/16/2021,01/15/2022,08/31/2021,01/12/2022,AAI,,,41.812266012,-87.684683345,"(41.81226601156809, -87.68468334545902)"
2292970-20211016,2805891,366617,1,"UR IN, INC.",Pisco Peruvian Restaurant & Bar,3220-3224 W LAWRENCE AVE 1ST,CHICAGO,IL,60625,33,22,17,1050,Public Place of Amusement,2292970,RENEW,,08/15/2021,11/10/2021,N,10/16/2021,10/15/2023,11/10/2021,03/10/2022,AAI,,60,41.968552615,-87.709381075,"(41.96855261492736, -87.70938107470327)"
19446-20220616,2841612,7938,1,D A I INC,OUTPUT WRIGLEYVILLE,3718-3720 N CLARK ST,CHICAGO,IL,60613,44,50,19,1472,Music and Dance,19446,RENEW,,04/15/2022,09/08/2022,N,06/16/2022,06/15/2024,09/08/2022,09/09/2022,AAI,,17,41.949533641,-87.658561223,"(41.94953364110842, -87.6585612230964)"
2419586-20191016,2687735,400616,1,"THE STONY GROUP, LLC","THE STONY GROUP, LLC",6758-6760 S STONY ISLAND AVE 1-3,CHICAGO,IL,60649,5,5,3,1050,Public Place of Amusement,2419586,RENEW,,08/15/2019,10/08/2019,N,10/16/2019,10/15/2021,10/08/2019,10/09/2019,AAI,,42,41.771558755,-87.586431507,"(41.77155875539722, -87.58643150665515)"
2246352-20170816,2538837,275294,1,"""3394 N. MILWAUKEE, INC.""",LIVEWIRE,3394 N MILWAUKEE AVE,CHICAGO,IL,60641,30,7,17,1050,Public Place of Amusement,2246352,RENEW,,06/15/2017,08/15/2017,N,08/16/2017,08/15/2019,08/15/2017,08/16/2017,AAI,,,41.942940835,-87.730393672,"(41.942940834526425, -87.73039367246311)"
2009364-20200616,2726245,349503,1,"CHICAGO CUBS BASEBALL CLUB, LLC",CHICAGO CUBS,1060 W ADDISON ST 1ST,CHICAGO,IL,60613,44,31,19,1050,Public Place of Amusement,2009364,RENEW,,04/15/2020,08/07/2020,N,06/16/2020,06/15/2022,08/07/2020,05/11/2022,AAI,,17,41.947317489,-87.656417948,"(41.94731748901495, -87.65641794764645)"
2153504-20240616,2964351,372279,1,MONTPARNASSE 56 CHICAGO LLC,360 CHICAGO,875 N MICHIGAN AVE 94,CHICAGO,IL,60611,2,43,18,1050,Public Place of Amusement,2153504,RENEW,,04/15/2024,05/03/2024,N,06/16/2024,06/15/2026,06/18/2024,06/20/2024,AAI,,,41.898948542,-87.623974988,"(41.898948541729865, -87.62397498768968)"
2341357-20221016,2865530,373232,1,ROBERT BLACK GOLF MANAGEMENT LLC,ROBERT BLACK GOLF COURSE,2045 W PRATT BLVD 1,CHICAGO,IL,60645,40,13,24,1050,Public Place of Amusement,2341357,RENEW,,08/15/2022,08/18/2022,N,10/16/2022,10/15/2024,10/12/2022,10/13/2022,AAI,,,42.005064509,-87.682157422,"(42.00506450909037, -87.6821574217577)"
2189459-20210216,2765401,375962,1,CHSP TRS LAKESHORE LLC,W CHICAGO-LAKESHORE,644 N LAKE SHORE DR 1-32,CHICAGO,IL,60611,2,63,18,1050,Public Place of Amusement,2189459,RENEW,,12/15/2020,02/08/2021,N,02/16/2021,02/15/2023,02/17/2021,03/11/2021,AAI,,,41.893871348,-87.615274777,"(41.89387134779289, -87.61527477728374)"
1818978-20210416,2772771,210158,4,CENTER ON HALSTED,CENTER ON HALSTED,"3656 N HALSTED ST 1,2, 3",CHICAGO,IL,60613,44,28,19,1050,Public Place of Amusement,1818978,RENEW,,02/15/2021,03/15/2021,N,04/16/2021,04/15/2023,03/24/2021,03/25/2021,AAI,,18,41.948966197,-87.64968333,"(41.94896619671428, -87.64968333043412)"
2718393-20231116,2930989,62544,20,HYATT CORPORATION,HYATT REGENCY MCCORMICK PLACE HOTEL,2233 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60616,4,6,1,1050,Public Place of Amusement,2718393,RENEW,,09/15/2023,10/13/2023,N,11/16/2023,09/15/2024,11/21/2023,12/13/2023,AAI,,,41.852075574,-87.618850804,"(41.852075574499366, -87.61885080391755)"
2550138-20190116,2634604,242782,1,BEVERLY ART CENTER,BEVERLY ART CENTER,"2407 W 111TH ST 1,2",CHICAGO,IL,60655,19,7,22,1050,Public Place of Amusement,2550138,RENEW,,11/15/2018,01/10/2019,N,01/16/2019,01/15/2021,01/10/2019,01/11/2019,AAI,,20,41.691672403,-87.681508085,"(41.69167240272551, -87.68150808453345)"
2579250-20201016,2747429,388962,1,"BOKA JAPAN, LLC",MOMOTARO,"820 W LAKE ST LL, 1 & 2",CHICAGO,IL,60607,27,1,12,1050,Public Place of Amusement,2579250,RENEW,,08/15/2020,10/08/2020,N,10/16/2020,10/15/2022,10/21/2020,10/22/2020,AAI,,,41.885758369,-87.648410589,"(41.88575836898289, -87.64841058851927)"
1890-20161016,2484257,375,1,TASTE INC,TASTE DISCO & STEAK HOUSE,6331 S LOWE AVE,CHICAGO,IL,60621,20,46,7,1050,Public Place of Amusement,1890,RENEW,,08/15/2016,10/14/2016,N,10/16/2016,10/15/2018,10/14/2016,10/14/2016,AAI,,,41.778854177,-87.640694956,"(41.77885417721719, -87.64069495645147)"
2333441-20230516,2898715,390515,1,INTERNATIONAL STAR SPORT INC.,INTERNATIONAL STAR LEAGUE,6310 W GRAND AVE 1ST,CHICAGO,IL,60639,36,6,25,1050,Public Place of Amusement,2333441,RENEW,,03/15/2023,04/13/2023,N,05/16/2023,05/15/2025,04/22/2023,04/24/2023,AAI,,,41.92212129,-87.783364748,"(41.922121289607375, -87.78336474769158)"
1277989-20140716,2330417,253694,1,"CHICAGO CITY SKATING, LLC","DR. MLK, JR. PARK AND FAMILY ENTERTAINMENT CENTER",1219 W 76TH ST,CHICAGO,IL,60620,17,27,6,1050,Public Place of Amusement,1277989,RENEW,,05/15/2014,07/08/2014,N,07/16/2014,07/15/2016,07/08/2014,07/09/2014,AAI,,,41.755949781,-87.654666156,"(41.75594978114761, -87.65466615567901)"
2379586-20170916,2547962,396182,1,CP CHICAGO O'HARE LLC,CHICAGO MARRIOTT O'HARE HOTEL,8535 W HIGGINS RD,CHICAGO,IL,60631,41,28,16,1050,Public Place of Amusement,2379586,RENEW,,07/15/2017,08/23/2017,N,09/16/2017,09/15/2019,08/23/2017,08/24/2017,AAI,,,41.986788586,-87.840124173,"(41.9867885856625, -87.84012417346162)"
2314277-20141222,2314277,388610,1,"VHC UPPER, LLC",CERISE,203 N WABASH AVE 26,CHICAGO,IL,60601,42,9,1,1050,Public Place of Amusement,2314277,ISSUE,03/04/2014,07/15/2014,07/23/2014,Y,12/22/2014,01/15/2017,12/22/2014,12/22/2014,AAI,,,41.885828293,-87.626138262,"(41.885828292802344, -87.62613826248786)"
2109872-20150816,2409388,356772,1,"KONISAN (OLD TOWN), INC.",KAMEHACHI,1531 N WELLS ST 1-2,CHICAGO,IL,60610,2,12,18,1050,Public Place of Amusement,2109872,RENEW,,06/15/2015,07/13/2015,N,08/16/2015,08/15/2017,07/22/2015,07/23/2015,AAI,,48,41.910080242,-87.634529769,"(41.91008024220972, -87.63452976939911)"
2094573-20210916,2798868,222849,2,"THE SIX GRANDS, CO.",SKYWAY BOWL,9915-9939 S TORRENCE AVE 1ST,CHICAGO,IL,60617,7,21,4,1050,Public Place of Amusement,2094573,RENEW,,07/15/2021,08/24/2021,N,09/16/2021,09/15/2023,09/13/2021,09/13/2021,AAI,,,41.71488534,-87.559621723,"(41.71488533977168, -87.55962172308115)"
2621829-20181227,2621829,430613,1,KANYAKA INC.,KRYPTON VR LOUNGE,2828 N CLARK ST 2 201,CHICAGO,IL,60657,44,18,19,1050,Public Place of Amusement,2621829,ISSUE,08/27/2018,09/14/2018,09/14/2018,Y,12/27/2018,01/15/2021,12/27/2018,12/27/2018,AAI,,8,41.933474039,-87.645599292,"(41.93347403945103, -87.64559929166136)"
2084736-20220316,2828927,283671,2,401 NORTH WABASH VENTURE LLC,TRUMP INTERNATIONAL HOTEL,401 N WABASH AVE 1-89,CHICAGO,IL,60611,42,55,18,1050,Public Place of Amusement,2084736,RENEW,,01/15/2022,01/18/2022,N,03/16/2022,03/15/2024,03/03/2022,03/04/2022,AAI,,,41.889284014,-87.626548548,"(41.889284013529334, -87.62654854794113)"
2550192-20201116,2752075,392778,1,UNDER THE GUN THEATER LLC,THE NEWPORT THEATER,3435 N SHEFFIELD AVE 2,CHICAGO,IL,60657,44,36,19,1050,Public Place of Amusement,2550192,RENEW,,09/15/2020,05/19/2021,N,11/16/2020,11/15/2022,05/19/2021,07/28/2021,AAI,,17,41.944579972,-87.654101654,"(41.944579972002636, -87.65410165350893)"
2423632-20151117,2423632,401021,1,THE REVIVAL LLC,THE REVIVAL,1160 E 55TH ST,CHICAGO,IL,60637,5,41,2,1050,Public Place of Amusement,2423632,ISSUE,09/02/2015,10/02/2015,10/02/2015,Y,11/17/2015,12/15/2017,11/17/2015,11/17/2015,AAI,,,41.79516978,-87.597182951,"(41.79516978044884, -87.5971829506414)"
2042991-20130316,2227233,89412,2,THE CHICAGO ACADEMY OF SCIENCES,PEGGY NOTEBAERT NATURE  MUSEUM,2430 N CANNON DR 1ST,CHICAGO,IL,60614,43,32,19,1050,Public Place of Amusement,2042991,RENEW,,01/17/2013,03/13/2013,N,03/16/2013,04/15/2015,03/14/2013,03/15/2013,AAI,,,41.926695785,-87.63430645,"(41.92669578466109, -87.63430644994477)"
1195301-20170216,2502980,220749,1,"VICTORIA OPERATING COMPANY, LLC",THE VIC THEATER,3145 N SHEFFIELD AVE 1-3,CHICAGO,IL,60657,44,20,19,1050,Public Place of Amusement,1195301,RENEW,,12/15/2016,02/02/2017,N,02/16/2017,02/15/2019,02/02/2017,02/03/2017,AAI,,17,41.939398698,-87.653941319,"(41.93939869816502, -87.65394131919611)"
43116-20180116,2566286,16264,1,"O'HARE GASLIGHT CLUB, INC.",O'HARE GASLIGHT CLUB,4000 N O'HARE FIELD  1ST,CHICAGO,IL,60666,41,,,1472,Music and Dance,43116,RENEW,,11/15/2017,01/12/2018,N,01/16/2018,01/15/2020,01/12/2018,01/16/2018,AAI,,,,,
2550145-20181016,2618485,85612,22,COLUMBIA COLLEGE CHICAGO,COLUMBIA COLLEGE CHICAGO,1104 S WABASH AVE  8,CHICAGO,IL,60605,4,58,1,1050,Public Place of Amusement,2550145,RENEW,,08/15/2018,08/29/2018,N,10/16/2018,10/15/2020,08/29/2018,08/30/2018,AAI,,,41.869062517,-87.626015798,"(41.86906251655677, -87.6260157982796)"
22698-20150316,2376055,63390,1,"CHEF'S INN, LTD.",NEW WARSAW RESTAURANT,6250 W 63RD ST 1ST,CHICAGO,IL,60638,13,38,8,1050,Public Place of Amusement,22698,RENEW,,01/16/2015,03/05/2015,N,03/16/2015,03/15/2017,03/13/2015,03/16/2015,AAI,,,41.777840675,-87.778428391,"(41.77784067500845, -87.77842839051569)"
1383986-20220916,2858843,250547,1,"MUSIC AND DANCE THEATER CHICAGO, INC.",MUSIC AND DANCE THEATER CHICAGO,205 E RANDOLPH ST,CHICAGO,IL,60601,42,44,1,1050,Public Place of Amusement,1383986,RENEW,,07/15/2022,08/09/2022,N,09/16/2022,09/15/2024,09/07/2022,09/08/2022,AAI,,,41.884166968,-87.622113294,"(41.884166968108076, -87.6221132937816)"
2647644-20190529,2647644,394336,2,"BUCKET LIST PRODUCTIONS, LLC","BUCKET LIST PRODUCTIONS, LLC","410 S MICHIGAN AVE 2, 7, 8,",CHICAGO,IL,60605,4,33,1,1050,Public Place of Amusement,2647644,ISSUE,02/15/2019,03/26/2019,03/26/2019,N,05/29/2019,07/15/2021,05/29/2019,05/29/2019,AAI,,,41.876707652,-87.62442948,"(41.87670765183466, -87.62442947950342)"
2549714-20211116,2811357,399290,2,"AUDIOLEAF SCHUBAS OPERATING I, LLC",Schubas Tavern,3153-3159 N SOUTHPORT AVE 1 & 2,CHICAGO,IL,60657,32,7,19,1050,Public Place of Amusement,2549714,RENEW,,09/15/2021,10/07/2021,N,11/16/2021,11/15/2023,11/04/2021,11/05/2021,AAI,,27,41.939533581,-87.663666194,"(41.939533581366824, -87.66366619417107)"
2124540-20171216,2562647,367123,1,"UP COMEDY CLUB, LLC",UP COMEDY CLUB,1616 N WELLS ST 3,CHICAGO,IL,60614,2,4,18,1050,Public Place of Amusement,2124540,RENEW,,10/15/2017,12/11/2017,N,12/16/2017,12/15/2019,12/11/2017,12/12/2017,AAI,,48,41.911673737,-87.634873623,"(41.91167373684744, -87.63487362274263)"
41247-20200216,2704703,5139,1,"BOOTLEGGER, INC.",COCONUTZ,13 W DIVISION ST 1,CHICAGO,IL,60610,2,29,18,1472,Music and Dance,41247,RENEW,,12/15/2019,,N,02/16/2020,02/15/2022,02/13/2020,02/20/2020,AAI,,,41.903822361,-87.629244446,"(41.90382236084491, -87.62924444589264)"
2391510-20171216,2563097,397471,1,WINDY CITY RESTAURANT MANAGEMENT LLC - SERIES BL UNIVERSITY VILLAGE,BAR LOUIE,1325 S HALSTED ST 1ST,CHICAGO,IL,60607,28,3,12,1050,Public Place of Amusement,2391510,RENEW,,10/15/2017,11/30/2017,N,12/16/2017,12/15/2019,11/30/2017,11/30/2017,AAI,,,41.864755663,-87.646699179,"(41.86475566339389, -87.64669917908263)"
2341540-20150925,2341540,391703,1,STK CHICAGO LLC,STK CHICAGO,9 W KINZIE ST 1ST,CHICAGO,IL,60654,42,27,18,1050,Public Place of Amusement,2341540,ISSUE,07/03/2014,08/01/2014,08/01/2014,Y,09/25/2015,10/15/2017,09/25/2015,09/25/2015,AAI,,,41.889137271,-87.62843006,"(41.88913727056584, -87.62843005984261)"
2550149-20181016,2618488,85612,25,COLUMBIA COLLEGE CHICAGO,COLUMBIA COLLEGE CHICAGO,623 S WABASH AVE  1,CHICAGO,IL,60605,4,49,1,1050,Public Place of Amusement,2550149,RENEW,,08/15/2018,08/29/2018,N,10/16/2018,10/15/2020,08/29/2018,08/30/2018,AAI,,,41.873908456,-87.625837706,"(41.87390845559158, -87.62583770570953)"
2647759-20240616,2967559,203280,1,"3660 CLARK STREET, INC.",Lost Never Found,3660-3662 N CLARK ST 1-2,CHICAGO,IL,60613,44,32,19,1050,Public Place of Amusement,2647759,RENEW,,05/15/2024,05/16/2024,N,06/16/2024,06/15/2026,05/20/2024,05/21/2024,AAI,,17,41.948735967,-87.657922889,"(41.94873596654509, -87.65792288913369)"
1403653-20140616,2321498,7060,3,"TOMMY GUN'S GARAGE, INC.",TOMMY GUN'S GARAGE,2114-2118 S WABASH AVE,CHICAGO,IL,60616,3,26,1,1050,Public Place of Amusement,1403653,RENEW,,04/15/2014,05/13/2014,N,06/16/2014,06/15/2016,05/16/2014,05/19/2014,AAI,,,41.853766723,-87.625665167,"(41.853766723134726, -87.6256651668642)"
2391741-20230716,2908791,322979,1,"PHO VIET, INC.",PHO VIET,4941 N BROADWAY  1,CHICAGO,IL,60640,48,40,20,1050,Public Place of Amusement,2391741,RENEW,,05/15/2023,07/14/2023,N,07/16/2023,07/15/2025,07/14/2023,07/17/2023,AAI,,34,41.972706887,-87.659621605,"(41.97270688665208, -87.6596216050827)"
2014309-20131016,2280055,24041,2,"MARK II, LTD.",Mark II Lounge/Red Room Comedy Club,7436-7442 N WESTERN AVE 1ST,CHICAGO,IL,60645,50,4,24,1050,Public Place of Amusement,2014309,RENEW,,08/15/2013,10/08/2013,N,10/16/2013,10/15/2015,10/08/2013,10/09/2013,AAI,,,42.016961013,-87.690347254,"(42.016961012809865, -87.69034725403856)"
2542049-20191016,2688159,417202,1,"RP RESTAURANT, LLC",GIBSONS ITALIA,233 N CANAL ST 2-4,CHICAGO,IL,60606,34,18,12,1050,Public Place of Amusement,2542049,RENEW,,08/15/2019,09/03/2019,N,10/16/2019,10/15/2021,10/17/2019,10/17/2019,AAI,,,41.886776204,-87.639737728,"(41.88677620405195, -87.6397377275293)"
2528613-20170822,2528613,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,18,1050,Public Place of Amusement,2528613,ISSUE,04/26/2017,06/09/2017,06/09/2017,N,08/22/2017,09/15/2019,08/22/2017,08/22/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2516781-20170817,2516781,385952,1,PUBLIC MEDIA INSTITUTE,PUBLIC MEDIA INSTITUTE,3219-3221 S MORGAN ST 1ST,CHICAGO,IL,60608,11,5,9,1050,Public Place of Amusement,2516781,ISSUE,02/21/2017,05/04/2017,05/04/2017,N,08/17/2017,09/15/2019,08/17/2017,08/17/2017,AAI,,,41.835783528,-87.650941016,"(41.835783527566484, -87.65094101586524)"
36106-20130916,2272103,15184,1,RUSH STREET BOOKS INC.,Lovers Playground,3901 W LAWRENCE AVE,CHICAGO,IL,60625,33,24,17,1050,Public Place of Amusement,36106,RENEW,,07/15/2013,08/23/2013,N,09/16/2013,09/15/2015,08/23/2013,08/26/2013,AAI,,,41.968156482,-87.725654155,"(41.968156482110366, -87.72565415455107)"
2796748-20211223,2796748,476165,1,"Convene at 333 N. Green, LLC",Convene,333 N GREEN ST 6-8,CHICAGO,IL,60607,27,45,12,1050,Public Place of Amusement,2796748,ISSUE,06/22/2021,06/22/2021,06/29/2021,N,12/23/2021,12/15/2023,12/23/2021,12/23/2021,AAI,,,41.887808158,-87.648545221,"(41.887808158349756, -87.64854522138359)"
1447924-20180916,2611776,267111,1,BRE/SWISS LP,Swissotel Chicago,323 E WACKER DR,CHICAGO,IL,60601,42,50,1,1050,Public Place of Amusement,1447924,RENEW,,07/15/2018,07/16/2018,N,09/16/2018,09/15/2020,09/12/2018,10/30/2018,AAI,,,41.887556041,-87.619655093,"(41.887556040948596, -87.61965509328479)"
2379586-20150825,2379586,396182,1,CP CHICAGO O'HARE LLC,CHICAGO MARRIOTT O'HARE HOTEL,8535 W HIGGINS RD,CHICAGO,IL,60631,41,28,16,1050,Public Place of Amusement,2379586,ISSUE,02/03/2015,05/28/2015,08/28/2015,N,08/25/2015,09/15/2017,08/25/2015,08/25/2015,AAI,,,41.986788586,-87.840124173,"(41.9867885856625, -87.84012417346162)"
2094096-20170716,2530496,27115,2,"NEW SAXONY LIQUORS & LOUNGE, LTD.",UPTOWN LOUNGE,1136-1140 W LAWRENCE AVE 1,CHICAGO,IL,60640,46,40,20,1050,Public Place of Amusement,2094096,RENEW,,05/15/2017,07/11/2017,N,07/16/2017,07/15/2019,07/11/2017,07/12/2017,AAI,,34,41.969144793,-87.659101719,"(41.969144793495026, -87.65910171892875)"
46329-20211016,2804229,16645,1,"BIJE'S, LTD.",PRO SHOP PIZZA CO.,7455 W IRVING PARK RD 1,CHICAGO,IL,60634,38,13,16,1050,Public Place of Amusement,46329,RENEW,,08/15/2021,09/16/2021,N,10/16/2021,10/15/2023,09/16/2021,09/17/2021,AAI,,,41.952488361,-87.81440271,"(41.95248836107066, -87.81440271000294)"
2542001-20190916,2682538,410203,1,"TCA - 2020 WEST, LLC",MIDTOWN ATHLETIC CLUB AND HOTEL,2444 N ELSTON AVE,CHICAGO,IL,60647,32,34,14,1050,Public Place of Amusement,2542001,RENEW,,07/15/2019,08/08/2019,N,09/16/2019,07/15/2021,06/15/2020,06/17/2020,AAI,,,41.925845288,-87.678835724,"(41.925845287841526, -87.67883572432687)"
2595469-20180815,2595469,427257,1,WONDERWORKS LLC,WNDR MUSEUM,1130 W MONROE ST 1,CHICAGO,IL,60607,34,31,12,1050,Public Place of Amusement,2595469,ISSUE,05/01/2018,06/27/2018,06/27/2018,Y,08/15/2018,09/15/2020,08/15/2018,08/15/2018,AAI,,,41.880458318,-87.655920333,"(41.88045831834425, -87.65592033290885)"
2442762-20171207,2442762,370798,1,"DEL FRISCO'S OF CHICAGO, LLC",DEL FRISCO'S DOUBLE EAGLE STEAK HOUSE,58 E OAK ST,CHICAGO,IL,60611,42,24,18,1050,Public Place of Amusement,2442762,ISSUE,12/23/2015,10/30/2017,10/30/2017,N,12/07/2017,12/15/2019,12/07/2017,12/07/2017,AAI,,,41.900891571,-87.626222923,"(41.90089157062984, -87.62622292307121)"
